decompositions,time
1,1.8e-06
3,7.1e-06
9,2.4e-05
27,8.3e-05
81,3.0e-04
243,1.0e-03
729,3.5e-03
2187,1.2e-02
6561,4.0e-02
19683,1.4e-01
59049,4.9e-01
177147,1.6e+00
531441,5.6e+00
1594323,2.1e+01
4782969,6.6e+01
