decompositions,time
1,4.0e-06
3,4.1e-06
9,1.2e-05
27,2.1e-05
81,4.5e-05
243,1.0e-04
729,2.2e-04
2187,5.0e-04
6561,1.1e-03
19683,2.5e-03
59049,5.6e-03
177147,1.2e-02
531441,2.9e-02
1594323,6.5e-02
4782969,1.5e-01
14348907,3.5e-01
43046721,8.3e-01
129140163,1.8e+00
387420489,4.3e+00
1162261467,1.0e+01
3486784401,2.4e+01
10460353203,5.7e+01
