decompositions,time
1,5.0e-06
3,5.2e-06
9,1.4e-05
27,2.5e-05
81,5.4e-05
243,1.2e-04
729,2.6e-04
2187,5.8e-04
6561,1.3e-03
19683,2.9e-03
59049,6.5e-03
177147,1.5e-02
531441,3.4e-02
1594323,7.6e-02
4782969,1.7e-01
14348907,4.1e-01
43046721,9.6e-01
129140163,2.1e+00
387420489,4.9e+00
1162261467,1.2e+01
3486784401,2.7e+01
10460353203,6.5e+01
